fold_id,market,outer_test_season,selected_variant,inner_brier_score,inner_log_loss,inner_ece_10,outer_brier_score,outer_log_loss,outer_roc_auc,outer_average_precision,outer_brier_skill_score,outer_log_loss_skill_score,selection_outer_test_used,commercial_release
fold_01,btts,1718,legacy,0.2496989870759871,0.6926433583912611,0.01043927821163413,0.2503136214291632,0.6938042952655504,0.52659073273473,0.5159921680698301,0.000545086841665432,0.0003507110461341556,False,False
fold_02,btts,1819,legacy,0.2503136214291632,0.6938042952655504,0.021486746336467067,0.2509283672732524,0.6950464065635281,0.5165072765072765,0.5176304659013857,-0.004158525503205057,-0.003060703653911201,False,False
fold_03,btts,1920,constant_train_rate,0.24988919667590023,0.6929255667494895,0.007894736842105288,0.2499000173130194,0.6929472048785095,0.5,0.5105263157894737,0.0,0.0,False,False
fold_04,btts,2021,constant_train_rate,0.2499000173130194,0.6929472048785095,0.003289473684210509,0.25022853185595567,0.6936042874412248,0.5,0.48947368421052634,0.0,0.0,False,False
fold_05,btts,2122,legacy,0.24853096097625677,0.6902070573934022,0.014796086047424594,0.2503363527285309,0.693806371020127,0.5107756232686981,0.5142678025065353,-0.0012521887574292734,-0.000883786849226853,False,False
fold_06,btts,2223,expanded,0.24772868261215045,0.6885370084599032,0.016377076123923622,0.25221092890735214,0.697899556634482,0.5250388198757765,0.5310932308926324,-0.009301892699812964,-0.007186048390625643,False,False
fold_07,btts,2324,constant_train_rate,0.24988651139126006,0.6929201985568109,0.011654135338345917,0.24873625779085873,0.6906195920529893,0.5,0.6157894736842106,0.0,0.0,False,False
fold_08,btts,2425,platt_expanded,0.24525119463161024,0.683633440654168,0.09562853158419263,0.24688437710365882,0.6871300373028489,0.49493147581832597,0.5639863002785916,0.003251060170221698,0.002025459651869177,False,False
fold_01,cards,1718,constant_train_rate,0.26263157894736844,0.7188932450320223,0.11315789473684212,0.24274411357340725,0.6786035296670442,0.5,0.39473684210526316,0.0,0.0,False,False
fold_02,cards,1819,constant_train_rate,0.24274411357340725,0.6786035296670442,0.061842105263157865,0.23994536780547862,0.6729495943216234,0.5,0.3894736842105263,0.0,0.0,False,False
fold_03,cards,1920,platt_referee_enhanced,0.23837165961521534,0.669733475186722,0.009813741734852485,0.2479424106413701,0.6893136249217316,0.4992790704249243,0.42597260594413155,-0.012122486542614386,-0.00915628700665505,False,False
fold_04,cards,2021,constant_train_rate,0.24497273199445976,0.6830593375842346,0.004605263157894723,0.22923102493074798,0.6513380194481073,0.5,0.3236842105263158,0.0,0.0,False,False
fold_05,cards,2122,constant_train_rate,0.22923102493074798,0.6513380194481073,0.10157894736842105,0.24923611111111107,0.6916986762595406,0.5,0.45,0.0,0.0,False,False
fold_06,cards,2223,constant_train_rate,0.24923611111111107,0.6916986762595406,0.041666666666666685,0.2519334049409236,0.6971262546497207,0.5,0.46842105263157896,0.0,0.0,False,False
fold_07,cards,2324,platt_referee_enhanced,0.2503249150716791,0.693839187141978,0.018923776499265837,0.2540756274272274,0.701321350501928,0.5274930102516309,0.649088459008879,0.07164674593897713,0.05350667543317689,False,False
fold_08,cards,2425,referee_enhanced,0.24095253070674463,0.6747303507319348,0.06794390228849387,0.2442779521420308,0.6815423016184722,0.5242150537634409,0.622933067557778,0.07476297635848184,0.05514814371308652,False,False
