fold_id,market,variant,test_season,train_rows,calibration_rows,test_rows,coverage,rows,accuracy,brier_score,log_loss,roc_auc,average_precision,brier_skill_score,log_loss_skill_score,ece_10,mean_probability,actual_rate,status,reason,feature_version,model_version
fold_01,btts,constant_train_rate,1718,380,380,380,1.0,380,0.48947368421052634,0.2507271468144044,0.6946022864138485,0.5,0.48947368421052634,0.0,0.0,0.028947368421052555,0.5184210526315791,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_01,btts,expanded,1718,380,380,380,1.0,380,0.5078947368421053,0.26822257291885654,0.7346490425928299,0.5036858441414478,0.5153578335309277,-0.06977874684388596,-0.05765422452859781,0.11267567714142984,0.48014853910271665,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_01,btts,legacy,1718,380,380,380,1.0,380,0.5236842105263158,0.24975026749034362,0.6927388141439069,0.5356529209621993,0.5343356167289621,0.003896184902482336,0.0026827902907755607,0.03203522675607805,0.5076896605761805,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_01,btts,platt_expanded,1718,380,380,380,1.0,380,0.5131578947368421,0.25067880335627696,0.6945048715439107,0.5036858441414478,0.5153578335309277,0.00019281301901952208,0.00014024553596081457,0.016647493068435916,0.5041319436923917,0.48947368421052634,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_02,btts,constant_train_rate,1819,760,380,380,1.0,380,0.5131578947368421,0.24982686980609417,0.6928008801956402,0.5,0.5131578947368421,0.0,0.0,0.0,0.5131578947368423,0.5131578947368421,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_02,btts,expanded,1819,760,380,380,1.0,380,0.48157894736842105,0.2704286793057542,0.7370264341742515,0.47221067221067214,0.49513902513883423,-0.08246434627168142,-0.06383588018266151,0.11426787736922403,0.45369919099384803,0.5131578947368421,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_02,btts,legacy,1819,760,380,380,1.0,380,0.5052631578947369,0.2512434156234409,0.6956215568761082,0.5063340263340264,0.516403777200349,-0.005670109938319179,-0.004071410359166139,0.04020696693491437,0.4987218392682097,0.5131578947368421,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_02,btts,platt_expanded,1819,760,380,380,1.0,380,0.4868421052631579,0.25141344431841794,0.6959775740487691,0.47221067221067214,0.49513902513883423,-0.0063506960382413435,-0.004585291306546502,0.028830545999067904,0.48843898924068435,0.5131578947368421,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_03,btts,constant_train_rate,1920,1140,380,380,1.0,380,0.5105263157894737,0.2499168975069252,0.6929809704579047,0.5,0.5105263157894737,0.0,0.0,0.0052631578947368585,0.5052631578947367,0.5105263157894737,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
fold_03,btts,expanded,1920,1140,380,380,1.0,380,0.49473684210526314,0.2563308772296583,0.7061611543693282,0.5105309832612792,0.5329400830953084,-0.025664450010049356,-0.019019546673430865,0.07926222621778094,0.480120851213675,0.5105263157894737,ok,,pre-match-rolling-v0.2,btts-logistic-v0.2
