market,match_id,kickoff_utc,season,actual,model_probability,baseline_probability,model_brier,baseline_brier,model_log_loss,baseline_log_loss
btts,618a965621910884,2022-08-31 20:00:00+00:00,2223,1,0.464955474560099,0.5625,0.28627264420320886,0.19140625,0.7658136316136483,0.5753641449035618
btts,c953d9c7e3e72b6e,2022-09-01 20:00:00+00:00,2223,0,0.4665585629366474,0.5714285714285714,0.21767689264950957,0.32653061224489793,0.6284059854683413,0.8472978603872036
btts,c2d6c1ef807b9e68,2022-09-03 12:30:00+00:00,2223,0,0.3959624075535515,0.56,0.1567862281956048,0.31360000000000005,0.5041188438343485,0.8209805520698303
btts,04e259f01ec1cc86,2022-09-03 15:00:00+00:00,2223,1,0.4233965408489152,0.5490196078431373,0.3324715491049967,0.20338331410995766,0.8594460902511771,0.5996211225491218
btts,433b5827c4bb8308,2022-09-03 15:00:00+00:00,2223,1,0.5254051238234207,0.5576923076923077,0.2252402964930626,0.1956360946745562,0.6435856495448647,0.5839478885949533
btts,664c559a7f65625f,2022-09-03 15:00:00+00:00,2223,1,0.5128119954258019,0.5660377358490566,0.23735215180098884,0.1883232467070132,0.6678459816332714,0.5690945318899665
btts,8b163f0a273f0021,2022-09-03 15:00:00+00:00,2223,1,0.4850467533502616,0.5740740740740741,0.26517684623510634,0.18141289437585734,0.723509994030373,0.5549968420791281
btts,d53e4018faa1ee5b,2022-09-03 15:00:00+00:00,2223,0,0.5002882081685802,0.5818181818181818,0.25028829123252866,0.33851239669421485,0.6937237630888694,0.8718389693033212
btts,e9de2c2eec6cd100,2022-09-03 15:00:00+00:00,2223,0,0.4545812091961934,0.5714285714285714,0.20664407575427332,0.32653061224489793,0.6062013559118445,0.8472978603872036
btts,09ed19202e3d2d1e,2022-09-03 17:30:00+00:00,2223,1,0.4433470779315681,0.5614035087719298,0.3098624756473238,0.19236688211757466,0.8134023440618647,0.5773153650348236
btts,5cb0716ec320e42b,2022-09-04 14:00:00+00:00,2223,1,0.498130402507886,0.5689655172413793,0.2518730928868965,0.18579072532699165,0.696893383809373,0.5639354490799391
btts,a04665832a495b83,2022-09-04 16:30:00+00:00,2223,1,0.5634969467770675,0.576271186440678,0.1905349154729422,0.17954610744039068,0.5735933638362976,0.551176919289558
btts,66d193421bbe59f3,2022-09-16 20:00:00+00:00,2223,0,0.4377363874297136,0.5833333333333334,0.19161314488001632,0.34027777777777785,0.5757844775504436,0.8754687373539001
btts,be9b3163ef7bc7b2,2022-09-16 20:00:00+00:00,2223,1,0.6089464949063901,0.5737704918032787,0.152922843845998,0.18167159365761895,0.4960248724284864,0.5555258026838976
btts,0daedd4970aca168,2022-09-17 12:30:00+00:00,2223,0,0.3866852890720652,0.5806451612903226,0.1495255127847466,0.33714880332986474,0.4888770801256665,0.8690378470236096
btts,41e2ed08b8fe0e65,2022-09-17 15:00:00+00:00,2223,1,0.3914488136751348,0.5714285714285714,0.37033454637740076,0.18367346938775514,0.9379005162238527,0.5596157879354228
btts,80e033d9c2fdb4d3,2022-09-17 17:30:00+00:00,2223,1,0.5169263956792318,0.578125,0.2333601071914581,0.177978515625,0.6598547827342884,0.5479651707154474
btts,b842443e3c14fb7c,2022-09-18 12:00:00+00:00,2223,0,0.60159973260842,0.5846153846153846,0.36192223827452247,0.3417751479289941,0.9202980821083148,0.8785504038913081
btts,453dac754f601b56,2022-09-18 14:15:00+00:00,2223,0,0.4554932259929552,0.5757575757575758,0.20747407892546937,0.33149678604224064,0.6078748959022198,0.8574502318512217
btts,040b0c20cc0b4fe2,2022-10-01 12:30:00+00:00,2223,1,0.6856982747428908,0.5671641791044776,0.09878557449959535,0.18734684785030076,0.3773175807473522,0.5671064596645803
btts,35a81f9e39f17f21,2022-10-01 15:00:00+00:00,2223,1,0.5430191727415885,0.5735294117647058,0.20883147648178213,0.1818771626297578,0.6106106507551775,0.5559460590464603
btts,61f84454a6871e1d,2022-10-01 15:00:00+00:00,2223,0,0.6491656814488447,0.5797101449275363,0.4214160819709429,0.3360638521319051,1.047441193875833,0.8668106746107854
btts,822aab19ffe61814,2022-10-01 15:00:00+00:00,2223,1,0.5402469341430277,0.5714285714285714,0.21137288156488548,0.18367346938775514,0.6157289584968937,0.5596157879354228
btts,d1cad35d2d0f3d8f,2022-10-01 15:00:00+00:00,2223,1,0.496407502118244,0.5774647887323944,0.2536054039227864,0.17853600476096013,0.7003581127154346,0.5491078103370076
btts,e8160829396b6276,2022-10-01 15:00:00+00:00,2223,1,0.4792811617522925,0.5833333333333334,0.27114810850604215,0.17361111111111108,0.7354678772561994,0.5389965007326869
btts,40b8261a9a37d10d,2022-10-01 17:30:00+00:00,2223,0,0.4999603782207472,0.589041095890411,0.24996037979063257,0.34696941264777637,0.6930679401410444,0.8892620594862358
btts,3cf3207c6074c27f,2022-10-02 14:00:00+00:00,2223,1,0.5449620242642997,0.581081081081081,0.20705955936164375,0.1754930606281958,0.6070391669956656,0.5428649775106075
btts,3df932e32c71df10,2022-10-02 16:30:00+00:00,2223,0,0.4778294828217649,0.5866666666666667,0.22832101465371532,0.3441777777777778,0.6497610831806849,0.8835009090511642
btts,03fa587ecdfa0155,2022-10-03 20:00:00+00:00,2223,0,0.4769816506955713,0.5789473684210527,0.227511495100272,0.33518005540166207,0.6481387308205675,0.8649974374866046
