market,fold_id,outer_test_season,selected_variant,outer_rows,outer_brier_score,outer_log_loss,outer_roc_auc,outer_average_precision,outer_ece_10,baseline_brier_score,baseline_log_loss,brier_delta,log_loss_delta,selection_used_2526
btts,fold_01,1718,logistic_legacy,380,0.2503136214291632,0.6938042952655504,0.52659073273473,0.5159921680698301,0.021486746336467067,0.2504501385041551,0.6940477054624001,-0.00013651707499190424,-0.00024341019684970266,False
btts,fold_02,1819,poisson_goals_btts,380,0.25123719042480797,0.6956995576439373,0.5270131670131669,0.5391417190961256,0.03759811719997949,0.24988919667590023,0.6929255667494895,0.0013479937489077332,0.002773990894447853,False
btts,fold_03,1920,constant_train_rate,380,0.2499000173130194,0.6929472048785095,0.5,0.5105263157894737,0.003289473684210509,0.2499000173130194,0.6929472048785095,0.0,0.0,False
btts,fold_04,2021,constant_train_rate,380,0.25022853185595567,0.6936042874412248,0.5,0.48947368421052634,0.01842105263157895,0.25022853185595567,0.6936042874412248,0.0,0.0,False
btts,fold_05,2122,logistic_legacy,380,0.2503363527285309,0.693806371020127,0.5107756232686981,0.5142678025065353,0.02398612031545707,0.25002327639273625,0.6931937355127143,0.00031307633579463756,0.00061263550741264,False
btts,fold_06,2223,logistic_expanded,380,0.25221092890735214,0.697899556634482,0.5250388198757765,0.5310932308926324,0.033511285350062765,0.24988651139126006,0.6929201985568109,0.002324417516092081,0.004979358077671137,False
btts,fold_07,2324,constant_train_rate,380,0.24873625779085873,0.6906195920529893,0.5,0.6157894736842106,0.11019736842105265,0.24873625779085873,0.6906195920529893,0.0,0.0,False
btts,fold_08,2425,poisson_goals_btts,380,0.24431080811525518,0.6818744090826945,0.5353239324951864,0.5881859442336599,0.030950215602332826,0.24768963099757194,0.6885246161321433,-0.003378822882316751,-0.006650207049448853,False
cards,fold_01,1718,constant_train_rate,380,0.24274411357340725,0.6786035296670442,0.5,0.39473684210526316,0.061842105263157865,0.24274411357340725,0.6786035296670442,0.0,0.0,False
cards,fold_02,1819,constant_train_rate,380,0.23994536780547862,0.6729495943216234,0.5,0.3894736842105263,0.04649122807017547,0.23994536780547862,0.6729495943216234,0.0,0.0,False
cards,fold_03,1920,constant_train_rate,380,0.24497273199445976,0.6830593375842346,0.5,0.42894736842105263,0.004605263157894723,0.24497273199445976,0.6830593375842346,0.0,0.0,False
cards,fold_04,2021,constant_train_rate,380,0.22923102493074798,0.6513380194481073,0.5,0.3236842105263158,0.10157894736842105,0.22923102493074798,0.6513380194481073,0.0,0.0,False
cards,fold_05,2122,poisson_cards_rate,380,0.2459909784891846,0.686521297695185,0.5765130529673466,0.5183535718724077,0.04845170191294098,0.24923611111111107,0.6916986762595406,-0.0032451326219264665,-0.005177378564355628,False
cards,fold_06,2223,poisson_cards_rate,380,0.2518100761783982,0.697827892299666,0.5413143842474135,0.5007099799264068,0.0558684832251013,0.2519334049409236,0.6971262546497207,-0.0001233287625254098,0.0007016376499453525,False
cards,fold_07,2324,cards_logistic_legacy,380,0.2462812304842683,0.6857033432722693,0.5300704799627213,0.6266659518183373,0.09905454125118239,0.27368421052631586,0.7409680895772807,-0.027402980042047553,-0.055264746305011325,False
cards,fold_08,2425,cards_logistic_referee_enhanced,380,0.2442779521420308,0.6815423016184722,0.5242150537634409,0.622933067557778,0.03806638890244392,0.264016620498615,0.721321863404918,-0.01973866835658422,-0.039779561786445816,False
